siren,nom,date_creation
493987275,APPLE PIE (MOG),2007-01-02
495141400,APPLE BUILDING CENTER,2007-03-20
498089358,BIG APPLE,2007-04-25
498380591,MOD APPLE,2007-04-17
498853548,ASKAR APPLE FRENCH GP SAS,2007-06-29
498855352,ASKAR APPLE FRENCH LP EURL,2007-06-29
498931302,ASKAR APPLE FRENCH HOLDCO SCS,2007-07-04
499752152,SCI APPLE,2007-06-02
501464424,SCI APPLE,2007-11-22
501726590,APPLE WIND (APPLE-WIND),2007-12-27
502380900,BIG APPLE (BIG APPLE),2008-01-31
502910219,APPLE RETAIL UK LTD,2008-02-04
508379021,NKB (APPLE CLUB PRIVE),2008-10-04
509596508,NICOLAS TETU (APPLE MENTHE),2009-01-22
510494859,APPLE EUROPE,2009-03-01
511510562,DIAMOND CITY EVENTS LTD,2009-01-01
511644130,AHMED EL SAHELI (CARIBBEAN RUBY ENTERPRISE N.V),2008-10-14
513811950,SCI APPLE-PIE,2009-06-09
514574359,BIG APPLE,2009-08-05
515224269,APPLE PINK,2009-11-03
517988267,FOLO (APPLE PIE),2009-11-18
518276027,APPLE BIO,2009-11-19
518436274,IRIS APPLE,2009-12-01
519501993,BIG APPLE,2009-12-14
521858290,SCI APPLE 2,2010-04-19
521875146,SCI APPLE 1,2010-04-19
522551928,APPLE GIRL'S,2010-04-12
522916600,APPLE FOOD (APPLE FOOD),2010-07-01
523183812,APPLE FALLS (ASSOCIATION),2010-04-22
523398618,THE MATHWORKS INC,2010-06-01
523644938,ADAM'S APPLE,2010-07-01
523973139,SCEA APPLE HOLSTEIN,2010-08-01
524015575,SCI BIG APPLE,2010-07-22
524157542,YANN MASSE (APPLE BOB CREATIONS),2010-08-02
525288569,APPLE POMME,2009-12-18
527538250,BIG APPLE COFFEE (BIG APPLE COFFEE),2010-10-04
529484818,CPMS (BIG APPLE),2011-01-07
531373900,THE APPLE TREE PARENTS ASSOCIATION A.T.P.A,2011-02-17
532096088,TIRAMISU,2011-05-03
532454097,SCI BIG APPLE CORE,2011-06-01
532672227,APPLE 12,2011-03-30
532728946,APPLE WIND NEW,2011-05-02
532939576,APPLE GENIUS INC,2009-09-24
534168984,[AUTOUR D APPLE] ([AUTOUR D'APPLE]) ([2A]),2011-08-05
534545801,ILEVEL (ILEVEL),2011-08-01
538466194,GENESIS ONE APPLE EURL (GOA),2011-12-09
539565218,APPLE DISTRIBUTION INTERNATIONAL,2012-02-01
552102055,SOC APPLEX ACCESSOIRES AUTOS,1955-12-25
729900118,GIE DES COMMERCANTS VELIZY 2,1972-01-01
749980900,A FOR APPLE L'ANGLAIS DES 3 ANS,2012-02-20
750045536,PHILIPPE PRUNIER (GRIZZLY APPLE),2012-02-14
750346710,GREEN APPLE,2012-02-13
750442113,TWO APPLE (TWO APPLE),2012-03-12
750669657,APPLE IMMOBILIER (SWIXIM),2012-04-01
751485319,RENCO (APPLE ASSISTANCE - IPHONE ASSISTANCE),2012-05-01
752880914,APPLE J.B.,2012-07-13
753615905,"FRANCISCO MARTINEZ TELLO (IP HOLDINGS SERVICES, DECORBAT)",2012-08-04
753638428,BIG APPLE,2012-06-04
788810158,BIG APPLE,2012-10-10
789216918,ACTIVITES POUR PROMOUVOIR LE LOGEMENT EVOLUTIF (ACTIVITES POUR PROMOUVOIR LE LOGEMENT EVOLUTIF) (A.P.P.L.E),2012-10-29
789256708,BIG APPLE YOGA (BIG APPLE YOGA),2012-10-19
789720141,SCI APPLE,2012-07-01
790268536,APPLE QUAI,2012-12-24
790790729,BIG APPLE,2009-09-16
790922355,PRO VERT,2013-01-02
791243603,APPLE CANDY (VYNCE'S),2013-01-15
791456809,TOFFEE APPLE,2013-02-21
791572001,APPLE JACK AGEN COUNTRY DANCE,2009-09-01
791866254,LA GROSSE POMME (BIG APPLE),2013-02-25
792686289,SCI APPLE INVEST,2013-03-14
792687998,NATALIA MURIEL PANTOJA (SUGAR APPLE),2013-05-01
792927501,OMAR JEMRHILI (APPLE STARE),2013-04-01
793295916,ALFRED,2013-05-24
793531021,ESRA SELCUK,2013-06-24
794171454,LITTLE APPLE (LITTLE APPLE),2013-07-10
794245084,BAR EGAL (BIG APPLE),2013-08-01
795262245,BIG APPLE PRODUCTIONS,2012-12-27
797414554,L'APPLE CHEF,2013-09-10
797960770,APPLE MANAGEMENT ET PROJECT,2013-10-01
800107039,APPLE RED,1997-12-04
800457566,APPLE BAR (APPLE BAR),2014-02-18
800895088,MICROBABY,2014-03-03
801628793,APPLE AND CO,2014-01-01
801806183,APPLE GARDEN CAFE (APPLE GARDEN CAFE),2014-05-01
802118034,PAMELA MIATH (GRENNY GLOW),2014-04-06
804151207,APPLE PIE EVENTS,2014-09-01
804351955,APPLE AND KOFFEE,2014-09-02
804635951,COMITE D'ENTREPRISE APPLE EUROPE INC.,2014-09-01
804671741,APPLE JACK COUNTRY DANCERS,2014-09-10
807590047,APPLE DES CIMES (APPLE DES CIMES),2014-11-01
808363840,CHERRY TREE,2014-12-01
808534887,BLUE APPLE 17,2012-07-04
809815392,RED APPLE SCHOOL,2015-01-02
810488296,APPLE CONSEIL EXPERTISE (APPLE CONSEIL EXPERTISE),2015-04-01
810882043,ALI ALAHIANE (PRIM APPLE),2015-05-01
811068014,APPLE PIE,2015-05-01
811254762,SARL EJFC (EJFC),2015-04-01
811323492,SICAIF,2015-04-07
814565842,NEV BAT,2015-11-03
815173281,APPLE-BOX,2015-12-09
817595432,APPLE 17,2016-01-06
818256372,APPLE JUICE,2016-02-03
819039744,APPLE TREE,2016-03-14
819794090,APPLE SQUARE,2016-04-02
820837888,APPLE GARDEN,2016-06-06
821583838,APPLE JACK,2016-03-14
821639341,NYOU PROD,2016-08-16
822402715,APPLE JACK COUNTRY,2016-08-04
822820585,THE SINGLE APPLE COMPANY,2016-10-01
822921763,NATHALIE ANDONI,2016-12-01
823059860,BIG APPLE (MONTPEUL'SWING-THE LINDY STUDIO-JAZZONIA-PETER KERTZNER ALICE MEY),2016-05-11
825043714,APPLE SEED,2017-01-10
827280207,A.P.P.L.E GPT ETUD ANTIPOLLUT,
827996893,ASSOCIATION PASSEPORT POUR L'EMPLOI (APPLE),2017-01-17
828053439,GRANT ALEXANDER EXECUTIVE INTERIM,2017-02-01
828420265,APPLE ROSE,2017-02-22
828565671,BLUE APPLE,2017-05-01
828837724,ASSOCIATION POUR LA PROMOTION DE LA PNEUMOLOGIE LIBERALE DANS L'EST (A.P.P.L.E.),2016-10-20
828849711,THE APPLE FARM (THE APPLE FARM),2017-03-22
830998050,STONE APPLE,2017-08-01
832381339,APPLE (APL),2017-09-19
832428270,SCI APPLE TREE,2017-09-20
833006042,APPLE T,2017-10-23
833410434,GFA APPLE CAUX,2017-10-24
837754340,APPLE DRIVE (EXCELLENCE CAB),2018-02-19
838340511,APPLE SECURITE (APPLE SECURITE),2018-03-13
838340560,APPLE BODYGUARD (APPLE BODYGUARD),2018-03-13
838749588,APPLE BEAN (CASA ERNESTO),2018-04-09
838844017,BIO APPLE,2018-04-01
